# KSW Arabic — FULL master glossary / جدول المصطلحات العربية الكامل
# راجع عمود proposed_ar وعدّله مباشرة حيث تريد صيغة مختلفة، ثم أعد الملف.
# status: changed = قرار مُدار | matched-core = مطابق لترجمة Odoo الرسمية
#         changed (auto) = تنظيف تلقائي (إزالة تشكيل/توحيد مفهوم) | unchanged = يبقى كما هو
# source: labour-law/ksa-hr/sap-oracle/odoo-core/unify/auto/keep-current
# ملاحظة: العبارات الطويلة (تلميحات/مساعدة/رسائل) تُعالَج آلياً ولا تظهر هنا.
term_en,current_ar,proposed_ar,status,source,modules,note
KSW Salesperson Profile (yearly target),ملف المندوب (الهدف السنوي) KSW,ملف مندوب المبيعات (الهدف السنوي) KSW,changed (auto),auto,commissions,
KSW Salesperson Profile — Client Split Rule,ملف المندوب — قاعدة تقسيم العميل KSW,ملف مندوب المبيعات — قاعدة تقسيم العميل KSW,changed (auto),auto,commissions,
KSW: Auto-create Leave Allocations,KSW: إنشاء تخصيصات الإجازة تلقائياً,KSW: إنشاء تخصيصات الإجازة تلقائيا,changed (auto),auto,leave_types,
Loans (locked),القروض (مُجمَّدة),القروض (مجمدة),changed (auto),auto,commissions,
Managed By,تُدار بواسطة,تدار بواسطة,changed (auto),auto,deduction,
Manager Confirmed By,أكّده المدير,أكده المدير,changed (auto),auto,annual_leave,
Mark this installment as settled outside payroll,تسجيل هذا القسط كمُسوَّى خارج الراتب,تسجيل هذا القسط كمسوى خارج الراتب,changed (auto),auto,deduction,
Message to Approver,رسالة إلى المُعتمِد,رسالة إلى المعتمد,changed (auto),auto,annual_leave,
MOL ID,معرّف وزارة العمل,معرف وزارة العمل,changed (auto),auto,payroll,
Monthly Attendance Report Wizard,معالج تقرير الحضور الشهري,معالج تقرير الحضور والانصراف الشهري,changed (auto),auto,attendance_report,
No leave balances found,لم يُعثَر على أرصدة إجازة,لم يعثر على أرصدة إجازة,changed (auto),auto,leave_types,
Originally Scheduled Amount,المبلغ المجدول أصلاً,المبلغ المجدول أصلا,changed (auto),auto,commissions,
Other Active Deductions,خصومات فعّالة أخرى,خصومات فعالة أخرى,changed (auto),auto,deduction,
Other Active Deductions (same employee),خصومات فعّالة أخرى (لنفس الموظف),خصومات فعالة أخرى (لنفس الموظف),changed (auto),auto,deduction,
Pending,معلّق,معلق,changed (auto),auto,"commissions,deduction",
Pending Commission Sheet,كشف عمولة معلّق,كشف عمولة معلق,changed (auto),auto,commissions,
Pending Installments,الأقساط المعلَّقة,الأقساط المعلقة,changed (auto),auto,deduction,
per month starting,شهرياً ابتداءً من,شهريا ابتداء من,changed (auto),auto,deduction,
Printed on,طُبع في,طبع في,changed (auto),auto,commissions,
Raw Early Leave Minutes,دقائق الخروج المبكر الخام,دقائق الانصراف المبكر الخام,changed (auto),auto,attendance_leave,
Raw Early Min,دق. خروج مبكر خام,دق. انصراف مبكر خام,changed (auto),auto,attendance_leave,
Redistribute Annual → Monthly (Even),إعادة توزيع السنوي → الشهري (متساوٍ),إعادة توزيع السنوي → الشهري (متساو),changed (auto),auto,commissions,
Reduced Rate Multiplier,معامل النسبة المخفَّضة,معامل النسبة المخفضة,changed (auto),auto,commissions,
Reduced Rate Up To %,النسبة المخفَّضة حتى ٪,النسبة المخفضة حتى ٪,changed (auto),auto,commissions,
Refused At,رُفض في,رفض في,changed (auto),auto,deduction,
Repayment progress,تقدّم السداد,تقدم السداد,changed (auto),auto,deduction,
Sales Achieved,المبيعات المحقَّقة,المبيعات المحققة,changed (auto),auto,commissions,
Salesperson Profile,ملف المندوب,ملف مندوب المبيعات,changed (auto),auto,commissions,
Search Attendance Sheets,بحث في كشوف الحضور,بحث في كشوف الحضور والانصراف,changed (auto),auto,attendance_sheet,
Signature Confirmed By,أكّد التوقيع,أكد التوقيع,changed (auto),auto,annual_leave,
Skip (Already Locked),تخطي (مقفل مسبقاً),تخطي (مقفل مسبقا),changed (auto),auto,annual_leave,
Skip Already-Locked Records,تخطي السجلات المقفلة مسبقاً,تخطي السجلات المقفلة مسبقا,changed (auto),auto,annual_leave,
Skipped Employees,الموظفون المتخطَّون,الموظفون المتخطون,changed (auto),auto,payroll,
Targets & Achieved,الأهداف والمحقَّق,الأهداف والمحقق,changed (auto),auto,commissions,
The biometric device this employee is registered on,الجهاز البيومتري المسجَّل عليه الموظف,جهاز البصمة المسجل عليه الموظف,changed (auto),auto,attendance_leave,
Tier Ladder,سلّم الشرائح,سلم الشرائح,changed (auto),auto,commissions,
Total Allocated,إجمالي المُخصَّص,إجمالي المخصص,changed (auto),auto,leave_types,
Total Pending,الإجمالي المعلّق,الإجمالي المعلق,changed (auto),auto,deduction,
Unified Bank File Export Wizard,معالج تصدير الملف البنكي الموحَّد,معالج تصدير الملف البنكي الموحد,changed (auto),auto,payroll,
Unpaid Leave — Approval Report,الإجازة غير المدفوعة — تقرير الاعتماد,الإجازة بدون أجر — تقرير الاعتماد,changed (auto),auto,unpaid_leave,
Unpaid Vacations to be Deducted (Days),أيام الإجازات غير مدفوعة الأجر المستقطعة,أيام الإجازات بدون أجر المستقطعة,changed (auto),auto,eos_leave,
Update Attendance Sheet,تحديث كشف الحضور,تحديث كشف الحضور والانصراف,changed (auto),auto,annual_leave,
Uses Attendance Sheet,يستخدم كشف الحضور,يستخدم كشف الحضور والانصراف,changed (auto),auto,attendance_sheet,
will be redistributed across,سيُوزَّع على,سيوزع على,changed (auto),auto,deduction,
Workdays Currently Attended,أيام العمل المسجلة حضورًا,أيام العمل المسجلة حضورا,changed (auto),auto,annual_leave,
X Is Acc Approver,مُعتمِد محاسبة,معتمد محاسبة,changed (auto),auto,annual_leave,
X Is Hr Approver,مُعتمِد موارد بشرية,معتمد موارد بشرية,changed (auto),auto,annual_leave,
Yes — Annual + Unpaid,نعم — سنوية + غير مدفوعة,نعم — سنوية + بدون أجر,changed (auto),auto,unpaid_leave,
⏳ Pending,⏳ معلّق,⏳ معلق,changed (auto),auto,unpaid_leave,
⏳ Pending Approval,⏳ في انتظار الاعتماد,⏳ بانتظار الاعتماد,changed (auto),auto,annual_leave,
⚠ Skipped Employees,⚠ موظفون متخطَّون,⚠ موظفون متخطون,changed (auto),auto,payroll,
⛔ Unpaid Leave,⛔ إجازة غير مدفوعة,⛔ إجازة بدون أجر,changed (auto),auto,unpaid_leave,
⛔ Unpaid Leaves,⛔ الإجازات غير المدفوعة,⛔ الإجازات بدون أجر,changed (auto),auto,unpaid_leave,
✍️ Pending Signature,✍️ في انتظار التوقيع,✍️ بانتظار التوقيع,changed (auto),auto,annual_leave,
✓ Confirmed,✓ مؤكَّد,✓ مؤكد,changed (auto),auto,commissions,
🏖️ Currently On Vacation,🏖️ في إجازة حالياً,🏖️ في إجازة حاليا,changed (auto),auto,annual_leave,
# ═══ [unchanged] تبقى كما هي ═══
# Employees,عدد الموظفين,عدد الموظفين,unchanged,auto,commissions,
('Annual Vacation Report - %s' % (object.employee_id.name)),('تقرير الإجازة السنوية - %s' % (object.employee_id.name)),('تقرير الإجازة السنوية - %s' % (object.employee_id.name)),unchanged,auto,payroll,
1 – New,1 – جديد,1 – جديد,unchanged,auto,commissions,
2 – Renewal,2 – تجديد,2 – تجديد,unchanged,auto,commissions,
3 – Delete,3 – حذف,3 – حذف,unchanged,auto,commissions,
<em>Net Basic (Basic − Attendance Deduction)</em>,<em>الأساسي الصافي (الأساسي − خصم الحضور)</em>,<em>الأساسي الصافي (الأساسي − خصم الحضور)</em>,unchanged,auto,payroll,
"<span class=""fw-bold text-success"">Approved</span>","<span class=""fw-bold text-success"">معتمد</span>","<span class=""fw-bold text-success"">معتمد</span>",unchanged,auto,payroll,
"<span class=""mx-1"">/</span>","<span class=""mx-1"">/</span>","<span class=""mx-1"">/</span>",unchanged,auto,deduction,
"<span class=""mx-1"">·</span>","<span class=""mx-1"">·</span>","<span class=""mx-1"">·</span>",unchanged,auto,commissions,
"<span class=""mx-2"">on</span>","<span class=""mx-2"">في</span>","<span class=""mx-2"">في</span>",unchanged,auto,deduction,
"<span class=""text-muted ms-1"" style=""font-size:0.8em"">(baseline)</span>","<span class=""text-muted ms-1"" style=""font-size:0.8em"">(خط الأساس)</span>","<span class=""text-muted ms-1"" style=""font-size:0.8em"">(خط الأساس)</span>",unchanged,auto,payroll,
"<span class=""text-muted"">—</span>","<span class=""text-muted"">—</span>","<span class=""text-muted"">—</span>",unchanged,auto,commissions,
"<span style=""color:#1565c0;"">⬛ Weekend</span>","<span style=""color:#1565c0;"">⬛ نهاية أسبوع</span>","<span style=""color:#1565c0;"">⬛ نهاية أسبوع</span>",unchanged,auto,attendance_report,
"<span style=""color:#2e7d32;"">✓ Present</span>","<span style=""color:#2e7d32;"">✓ حاضر</span>","<span style=""color:#2e7d32;"">✓ حاضر</span>",unchanged,auto,attendance_report,
"<span style=""color:#90a4ae;"">⬜ Weekend</span>","<span style=""color:#90a4ae;"">⬜ نهاية أسبوع</span>","<span style=""color:#90a4ae;"">⬜ نهاية أسبوع</span>",unchanged,auto,attendance_report,
"<span style=""color:#bdbdbd;"">—</span>","<span style=""color:#bdbdbd;"">—</span>","<span style=""color:#bdbdbd;"">—</span>",unchanged,auto,attendance_report,
"<span style=""color:#c62828;"">✗ Absent</span>","<span style=""color:#c62828;"">✗ غائب</span>","<span style=""color:#c62828;"">✗ غائب</span>",unchanged,auto,attendance_report,
"<span style=""color:#e65100;"">🏖 Leave</span>","<span style=""color:#e65100;"">🏖 إجازة</span>","<span style=""color:#e65100;"">🏖 إجازة</span>",unchanged,auto,attendance_report,
"<span style=""color:#f9a825;"">⚠ No Record</span>","<span style=""color:#f9a825;"">⚠ لا سجل</span>","<span style=""color:#f9a825;"">⚠ لا سجل</span>",unchanged,auto,attendance_report,
<span>/ month</span>,<span>/ شهر</span>,<span>/ شهر</span>,unchanged,auto,payroll,
<strong>Accountant</strong>,<strong>المحاسب</strong>,<strong>المحاسب</strong>,unchanged,auto,payroll,
<strong>Accounting Manager</strong>,<strong>مدير المحاسبة</strong>,<strong>مدير المحاسبة</strong>,unchanged,auto,payroll,
<strong>Annual Portion</strong>,<strong>الجزء السنوي</strong>,<strong>الجزء السنوي</strong>,unchanged,auto,unpaid_leave,
<strong>Balance Consumed (Days)</strong>,<strong>الرصيد المستهلك (أيام)</strong>,<strong>الرصيد المستهلك (أيام)</strong>,unchanged,auto,payroll,
<strong>Balance Consumed</strong>,<strong>الرصيد المستهلك</strong>,<strong>الرصيد المستهلك</strong>,unchanged,auto,unpaid_leave,
<strong>Bank Account</strong>,<strong>الحساب البنكي</strong>,<strong>الحساب البنكي</strong>,unchanged,keep-current,payroll,ترجمة Odoo الأساسية معطوبة (وسوم HTML معكوسة)
<strong>Bank Transfer Amount</strong>,<strong>مبلغ التحويل البنكي</strong>,<strong>مبلغ التحويل البنكي</strong>,unchanged,auto,commissions,
<strong>Basic Wage</strong>,<strong>الراتب الأساسي</strong>,<strong>الراتب الأساسي</strong>,unchanged,auto,commissions,
<strong>Calendar Days Away</strong>,<strong>أيام الغياب التقويمية</strong>,<strong>أيام الغياب التقويمية</strong>,unchanged,auto,payroll,
<strong>Calendar Days</strong>,<strong>الأيام التقويمية</strong>,<strong>الأيام التقويمية</strong>,unchanged,auto,unpaid_leave,
